#
 0,              dumb,50,  0.27,  0.15,  *     ------       |                   ,  0.25,  0.50
#
 1,             smart,40,  0.30,  0.25,   *          -      |                   ,  0.25,  0.62
 1,              dumb,40,  0.31,  0.25,    *                |                   ,  0.25,  0.51
 1,              dumb,30,  0.40,  0.20, --      *           |                   ,  0.25,  0.50
#
 2,             smart,30,  0.47,  0.21, --         *        |                   ,  0.25,  0.50
 2,             smart,50,  0.48,  0.20, --          *       |                   ,  0.25,  0.50
#
 3,              dumb,20,  0.50,  0.00,   -----------*----- |                   ,  0.25,  0.75
 3,             smart,20,  0.50,  0.15, -----        *      |                   ,  0.25,  0.50
#
 4,            asIs,1000,  0.75,  0.19,              -------|-----*         --- ,  0.25,  1.00
